party,per_14,per_19
RTSGP,0.32%,0.00%
AMiP,0.32%,0.00%
JTVP,0.32%,0.00%
JKNPP,0.32%,0.29%
RASJGP,0.31%,0.00%
AJM,0.31%,0.00%
SDP(MP),0.31%,0.00%
ABHM,0.30%,0.23%
ANNADATA,0.30%,0.00%
PHRC,0.30%,0.08%
NVSP,0.30%,0.00%
VPI,0.29%,0.00%
BDlP,0.29%,0.00%
MPJVP,0.29%,0.00%
IND,0.28%,0.33%
APoI,0.28%,0.19%
SAJP,0.28%,0.00%
LJVM,0.27%,0.00%
mimm,0.27%,0.00%
GPI,0.27%,0.00%
MLPOIRF,0.27%,0.00%
PRSP,0.26%,0.25%
JKPP,0.26%,0.00%
BNARP,0.26%,0.00%
skd,0.26%,0.00%
PSPU,0.25%,0.00%
JHAP,0.25%,0.27%
ASP,0.25%,0.24%
SAAFP,0.25%,0.00%
MADP,0.25%,0.30%
VCSMP,0.25%,0.00%
BRM,0.25%,0.00%
IPGP,0.25%,0.07%
IDRP,0.25%,0.00%
UPJP,0.24%,0.00%
AMB,0.24%,0.31%
NNP,0.24%,0.03%
PMPT,0.24%,0.00%
RSOSP,0.24%,0.06%
ACDP,0.24%,0.00%
BNJD,0.24%,0.34%
RJBP,0.24%,0.00%
ASJP,0.24%,0.00%
BARP,0.24%,0.00%
BLND,0.24%,0.00%
BMtrP,0.24%,0.00%
BJAZP,0.23%,0.00%
PSPL,0.23%,0.00%
RaJSP,0.23%,0.28%
BLSD,0.23%,0.00%
PHSP,0.23%,0.00%
RVLP,0.23%,0.08%
SJPA,0.23%,0.14%
JANADIP,0.23%,0.00%
JKiP,0.23%,0.00%
BLRP,0.23%,0.00%
NEP,0.23%,0.06%
MNVP,0.23%,0.00%
AKHP,0.23%,0.00%
TELYS,0.23%,0.00%
MSKK,0.22%,0.00%
BJKD,0.22%,0.28%
NALAP,0.22%,0.00%
RPIK,0.22%,0.00%
AABHAP,0.22%,0.00%
VPP,0.22%,0.00%
STBP,0.22%,0.00%
PGSP,0.22%,0.12%
RJAPU,0.21%,0.00%
SUCI(C),0.21%,0.00%
ASGP,0.21%,0.00%
RPWP,0.21%,0.00%
AIUC,0.21%,0.00%
BHMP,0.21%,0.00%
NJP,0.21%,0.00%
UKDD,0.21%,0.00%
MCPI,0.21%,0.16%
BAWPA,0.20%,0.00%
RsAD,0.20%,0.23%
AKSP,0.20%,0.00%
AAHPty,0.20%,0.00%
HiPPa,0.20%,0.51%
RSJVP,0.20%,0.00%
RSMD,0.20%,0.23%
SVPP,0.19%,0.02%
JHBHP,0.19%,0.00%
BMUP,0.19%,0.21%
LD,0.19%,0.14%
GAGUP,0.19%,0.00%
SGUP,0.19%,0.00%
MPEP,0.19%,0.00%
BALP,0.19%,0.00%
PUJP,0.19%,0.00%
AIPTMMK,0.19%,0.00%
RaIP,0.18%,0.12%
grac,0.18%,0.20%
SBM,0.18%,0.00%
PLM,0.18%,0.00%
BBC,0.18%,0.20%
BMF,0.18%,0.26%
BKVP,0.18%,0.00%
BHHF,0.18%,0.00%
JP,0.18%,0.00%
AMPK,0.18%,0.00%
TTNP,0.18%,0.00%
BBM,0.18%,0.92%
JeSM,0.18%,0.25%
BGanP,0.17%,0.00%
AYSRCP,0.17%,0.00%
KRUP,0.17%,0.00%
PJSP,0.17%,0.00%
BSCP,0.17%,0.16%
ADPT,0.17%,0.09%
AKBHAD,0.17%,0.00%
SaBP,0.17%,0.18%
JGHTP,0.17%,0.00%
NED,0.17%,0.00%
VSP,0.17%,0.02%
KPOI,0.16%,0.00%
RUC,0.16%,0.40%
SaDa,0.16%,0.13%
KSRSP,0.16%,0.00%
ALINLBP,0.16%,0.00%
KS,0.16%,0.20%
SatBP,0.16%,0.00%
ManJP,0.16%,0.00%
JanSP,0.16%,0.06%
MMKA,0.16%,0.08%
JaSD,0.16%,0.00%
HSS,0.16%,0.00%
SMARTIP,0.16%,0.00%
RRP,0.16%,0.12%
RPP,0.16%,0.00%
ABNNP,0.16%,0.00%
cvgrp,0.16%,0.00%
ASDHP,0.16%,0.00%
PRSHP,0.16%,0.00%
SWAJANPA,0.16%,0.00%
TNLK,0.15%,0.00%
